ICD-10-WHO_Code,Description,Last_Updated
V483,Unspecified car occupant injured in nontraffic accident,2020-10-13
V484,Person injured while boarding or alighting,2020-10-13
V485,Driver injured in traffic accident,2020-10-13
V486,Passenger injured in traffic accident,2020-10-13
V487,Person on outside of vehicle injured in traffic accident,2020-10-13
V489,Unspecified car occupant injured in traffic accident,2020-10-13
V49,,2020-10-13
V490,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V491,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V492,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V493,Car occupant [any] injured in unspecified nontraffic accident,2020-10-13
V494,Driver injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V495,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V496,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V498,Car occupant [any] injured in other specified transport accidents,2020-10-13
V499,Car occupant [any] injured in unspecified traffic accident,2020-10-13
V50,,2020-10-13
V500,Driver injured in nontraffic accident,2020-10-13
V501,Passenger injured in nontraffic accident,2020-10-13
V502,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V503,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V504,Person injured while boarding or alighting,2020-10-13
V505,Driver injured in traffic accident,2020-10-13
V506,Passenger injured in traffic accident,2020-10-13
V507,Person on outside of vehicle injured in traffic accident,2020-10-13
V509,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V51,,2020-10-13
V510,Driver injured in nontraffic accident,2020-10-13
V511,Passenger injured in nontraffic accident,2020-10-13
V512,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V513,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V514,Person injured while boarding or alighting,2020-10-13
V515,Driver injured in traffic accident,2020-10-13
V516,Passenger injured in traffic accident,2020-10-13
V517,Person on outside of vehicle injured in traffic accident,2020-10-13
V519,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V52,,2020-10-13
V520,Driver injured in nontraffic accident,2020-10-13
V521,Passenger injured in nontraffic accident,2020-10-13
V522,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V523,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V524,Person injured while boarding or alighting,2020-10-13
V525,Driver injured in traffic accident,2020-10-13
V526,Passenger injured in traffic accident,2020-10-13
V527,Person on outside of vehicle injured in traffic accident,2020-10-13
V529,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V53,,2020-10-13
V530,Driver injured in nontraffic accident,2020-10-13
V531,Passenger injured in nontraffic accident,2020-10-13
V532,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V533,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V534,Person injured while boarding or alighting,2020-10-13
V535,Driver injured in traffic accident,2020-10-13
V536,Passenger injured in traffic accident,2020-10-13
V537,Person on outside of vehicle injured in traffic accident,2020-10-13
V539,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V54,,2020-10-13
V540,Driver injured in nontraffic accident,2020-10-13
V541,Passenger injured in nontraffic accident,2020-10-13
V542,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V543,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V544,Person injured while boarding or alighting,2020-10-13
V545,Driver injured in traffic accident,2020-10-13
V546,Passenger injured in traffic accident,2020-10-13
V547,Person on outside of vehicle injured in traffic accident,2020-10-13
V549,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V55,,2020-10-13
V550,Driver injured in nontraffic accident,2020-10-13
V551,Passenger injured in nontraffic accident,2020-10-13
V552,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V553,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V554,Person injured while boarding or alighting,2020-10-13
V555,Driver injured in traffic accident,2020-10-13
V556,Passenger injured in traffic accident,2020-10-13
V557,Person on outside of vehicle injured in traffic accident,2020-10-13
V559,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V56,,2020-10-13
V560,Driver injured in nontraffic accident,2020-10-13
V561,Passenger injured in nontraffic accident,2020-10-13
V562,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V563,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V564,Person injured while boarding or alighting,2020-10-13
V565,Driver injured in traffic accident,2020-10-13
V566,Passenger injured in traffic accident,2020-10-13
V567,Person on outside of vehicle injured in traffic accident,2020-10-13
V569,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V57,,2020-10-13
V570,Driver injured in nontraffic accident,2020-10-13
V571,Passenger injured in nontraffic accident,2020-10-13
V572,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V573,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V574,Person injured while boarding or alighting,2020-10-13
V575,Driver injured in traffic accident,2020-10-13
V576,Passenger injured in traffic accident,2020-10-13
V577,Person on outside of vehicle injured in traffic accident,2020-10-13
V579,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V58,,2020-10-13
V580,Driver injured in nontraffic accident,2020-10-13
V581,Passenger injured in nontraffic accident,2020-10-13
V582,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V583,Unspecified occupant of pick-up truck or van injured in nontraffic accident,2020-10-13
V584,Person injured while boarding or alighting,2020-10-13
V585,Driver injured in traffic accident,2020-10-13
V586,Passenger injured in traffic accident,2020-10-13
V587,Person on outside of vehicle injured in traffic accident,2020-10-13
V589,Unspecified occupant of pick-up truck or van injured in traffic accident,2020-10-13
V59,,2020-10-13
V590,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V591,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V592,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V593,Occupant [any] of pick-up truck or van injured in unspecified nontraffic accident,2020-10-13
V594,Driver injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V595,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V596,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V598,Occupant [any] of pick-up truck or van injured in other specified transport accidents,2020-10-13
V599,Occupant [any] of pick-up truck or van injured in unspecified traffic accident,2020-10-13
V60,,2020-10-13
V600,Driver injured in nontraffic accident,2020-10-13
V601,Passenger injured in nontraffic accident,2020-10-13
V602,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V603,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V604,Person injured while boarding or alighting,2020-10-13
V605,Driver injured in traffic accident,2020-10-13
V606,Passenger injured in traffic accident,2020-10-13
V607,Person on outside of vehicle injured in traffic accident,2020-10-13
V609,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V61,,2020-10-13
V610,Driver injured in nontraffic accident,2020-10-13
V611,Passenger injured in nontraffic accident,2020-10-13
V612,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V613,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V614,Person injured while boarding or alighting,2020-10-13
V615,Driver injured in traffic accident,2020-10-13
V616,Passenger injured in traffic accident,2020-10-13
V617,Person on outside of vehicle injured in traffic accident,2020-10-13
V619,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V62,,2020-10-13
V620,Driver injured in nontraffic accident,2020-10-13
V621,Passenger injured in nontraffic accident,2020-10-13
V622,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V623,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V624,Person injured while boarding or alighting,2020-10-13
V625,Driver injured in traffic accident,2020-10-13
V626,Passenger injured in traffic accident,2020-10-13
V627,Person on outside of vehicle injured in traffic accident,2020-10-13
V629,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V63,,2020-10-13
V630,Driver injured in nontraffic accident,2020-10-13
V631,Passenger injured in nontraffic accident,2020-10-13
V632,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V633,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V634,Person injured while boarding or alighting,2020-10-13
V635,Driver injured in traffic accident,2020-10-13
V636,Passenger injured in traffic accident,2020-10-13
V637,Person on outside of vehicle injured in traffic accident,2020-10-13
V639,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V64,,2020-10-13
V640,Driver injured in nontraffic accident,2020-10-13
V641,Passenger injured in nontraffic accident,2020-10-13
V642,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V643,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V644,Person injured while boarding or alighting,2020-10-13
V645,Driver injured in traffic accident,2020-10-13
V646,Passenger injured in traffic accident,2020-10-13
V647,Person on outside of vehicle injured in traffic accident,2020-10-13
V649,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V65,,2020-10-13
V650,Driver injured in nontraffic accident,2020-10-13
V651,Passenger injured in nontraffic accident,2020-10-13
V652,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V653,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V654,Person injured while boarding or alighting,2020-10-13
V655,Driver injured in traffic accident,2020-10-13
V656,Passenger injured in traffic accident,2020-10-13
V657,Person on outside of vehicle injured in traffic accident,2020-10-13
V659,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V66,,2020-10-13
V660,Driver injured in nontraffic accident,2020-10-13
V661,Passenger injured in nontraffic accident,2020-10-13
V662,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V663,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V664,Person injured while boarding or alighting,2020-10-13
V665,Driver injured in traffic accident,2020-10-13
V666,Passenger injured in traffic accident,2020-10-13
V667,Person on outside of vehicle injured in traffic accident,2020-10-13
V669,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V67,,2020-10-13
V670,Driver injured in nontraffic accident,2020-10-13
V671,Passenger injured in nontraffic accident,2020-10-13
V672,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V673,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V674,Person injured while boarding or alighting,2020-10-13
V675,Driver injured in traffic accident,2020-10-13
V676,Passenger injured in traffic accident,2020-10-13
V677,Person on outside of vehicle injured in traffic accident,2020-10-13
V679,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V68,,2020-10-13
V680,Driver injured in nontraffic accident,2020-10-13
V681,Passenger injured in nontraffic accident,2020-10-13
V682,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V683,Unspecified occupant of heavy transport vehicle injured in nontraffic accident,2020-10-13
V684,Person injured while boarding or alighting,2020-10-13
V685,Driver injured in traffic accident,2020-10-13
V686,Passenger injured in traffic accident,2020-10-13
V687,Person on outside of vehicle injured in traffic accident,2020-10-13
V689,Unspecified occupant of heavy transport vehicle injured in traffic accident,2020-10-13
V69,,2020-10-13
V690,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V691,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V692,Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V693,Occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident,2020-10-13
V694,Driver injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V695,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V696,Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V698,Occupant [any] of heavy transport vehicle injured in other specified transport accidents,2020-10-13
V699,Occupant [any] of heavy transport vehicle injured in unspecified traffic accident,2020-10-13
V70,,2020-10-13
V700,Driver injured in nontraffic accident,2020-10-13
V701,Passenger injured in nontraffic accident,2020-10-13
V702,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V703,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V704,Person injured while boarding or alighting,2020-10-13
V705,Driver injured in traffic accident,2020-10-13
V706,Passenger injured in traffic accident,2020-10-13
V707,Person on outside of vehicle injured in traffic accident,2020-10-13
V709,Unspecified bus occupant injured in traffic accident,2020-10-13
V71,,2020-10-13
V710,Driver injured in nontraffic accident,2020-10-13
V711,Passenger injured in nontraffic accident,2020-10-13
V712,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V713,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V714,Person injured while boarding or alighting,2020-10-13
V715,Driver injured in traffic accident,2020-10-13
V716,Passenger injured in traffic accident,2020-10-13
V717,Person on outside of vehicle injured in traffic accident,2020-10-13
V719,Unspecified bus occupant injured in traffic accident,2020-10-13
V72,,2020-10-13
V720,Driver injured in nontraffic accident,2020-10-13
V721,Passenger injured in nontraffic accident,2020-10-13
V722,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V723,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V724,Person injured while boarding or alighting,2020-10-13
V725,Driver injured in traffic accident,2020-10-13
V726,Passenger injured in traffic accident,2020-10-13
V727,Person on outside of vehicle injured in traffic accident,2020-10-13
V729,Unspecified bus occupant injured in traffic accident,2020-10-13
V73,,2020-10-13
V730,Driver injured in nontraffic accident,2020-10-13
V731,Passenger injured in nontraffic accident,2020-10-13
V732,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V733,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V734,Person injured while boarding or alighting,2020-10-13
V735,Driver injured in traffic accident,2020-10-13
V736,Passenger injured in traffic accident,2020-10-13
V737,Person on outside of vehicle injured in traffic accident,2020-10-13
V739,Unspecified bus occupant injured in traffic accident,2020-10-13
V74,,2020-10-13
V740,Driver injured in nontraffic accident,2020-10-13
V741,Passenger injured in nontraffic accident,2020-10-13
V742,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V743,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V744,Person injured while boarding or alighting,2020-10-13
V745,Driver injured in traffic accident,2020-10-13
V746,Passenger injured in traffic accident,2020-10-13
V747,Person on outside of vehicle injured in traffic accident,2020-10-13
V749,Unspecified bus occupant injured in traffic accident,2020-10-13
V75,,2020-10-13
V750,Driver injured in nontraffic accident,2020-10-13
V751,Passenger injured in nontraffic accident,2020-10-13
V752,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V753,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V754,Person injured while boarding or alighting,2020-10-13
V755,Driver injured in traffic accident,2020-10-13
V756,Passenger injured in traffic accident,2020-10-13
V757,Person on outside of vehicle injured in traffic accident,2020-10-13
V759,Unspecified bus occupant injured in traffic accident,2020-10-13
V76,,2020-10-13
V760,Driver injured in nontraffic accident,2020-10-13
V761,Passenger injured in nontraffic accident,2020-10-13
V762,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V763,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V764,Person injured while boarding or alighting,2020-10-13
V765,Driver injured in traffic accident,2020-10-13
V766,Passenger injured in traffic accident,2020-10-13
V767,Person on outside of vehicle injured in traffic accident,2020-10-13
V769,Unspecified bus occupant injured in traffic accident,2020-10-13
V77,,2020-10-13
V770,Driver injured in nontraffic accident,2020-10-13
V771,Passenger injured in nontraffic accident,2020-10-13
V772,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V773,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V774,Person injured while boarding or alighting,2020-10-13
V775,Driver injured in traffic accident,2020-10-13
V776,Passenger injured in traffic accident,2020-10-13
V777,Person on outside of vehicle injured in traffic accident,2020-10-13
V779,Unspecified bus occupant injured in traffic accident,2020-10-13
V78,,2020-10-13
V780,Driver injured in nontraffic accident,2020-10-13
V781,Passenger injured in nontraffic accident,2020-10-13
V782,Person on outside of vehicle injured in nontraffic accident,2020-10-13
V783,Unspecified bus occupant injured in nontraffic accident,2020-10-13
V784,Person injured while boarding or alighting,2020-10-13
V785,Driver injured in traffic accident,2020-10-13
V786,Passenger injured in traffic accident,2020-10-13
V787,Person on outside of vehicle injured in traffic accident,2020-10-13
V789,Unspecified bus occupant injured in traffic accident,2020-10-13
V79,,2020-10-13
V790,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V791,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V792,Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,2020-10-13
V793,Bus occupant [any] injured in unspecified nontraffic accident,2020-10-13
V794,Driver injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V795,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V796,Unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident,2020-10-13
V798,Bus occupant [any] injured in other specified transport accidents,2020-10-13
V799,Bus occupant [any] injured in unspecified traffic accident,2020-10-13
V80,,2020-10-13
V800,Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident,2020-10-13
V801,Rider or occupant injured in collision with pedestrian or animal,2020-10-13
V802,Rider or occupant injured in collision with pedal cycle,2020-10-13
V803,Rider or occupant injured in collision with two- or three-wheeled motor vehicle,2020-10-13
V804,"Rider or occupant injured in collision with car, pick-up truck, van, heavy transport vehicle or bus",2020-10-13
V805,Rider or occupant injured in collision with other specified motor vehicle,2020-10-13
V806,Rider or occupant injured in collision with railway train or railway vehicle,2020-10-13
V807,Rider or occupant injured in collision with other nonmotor vehicle,2020-10-13
V808,Rider or occupant injured in collision with fixed or stationary object,2020-10-13
V809,Rider or occupant injured in other and unspecified transport accidents,2020-10-13
V81,,2020-10-13
V810,Occupant of railway train or railway vehicle injured in collision with motor vehicle in nontraffic accident,2020-10-13
V811,Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident,2020-10-13
V812,Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock,2020-10-13
V813,Occupant of railway train or railway vehicle injured in collision with other object,2020-10-13
V814,Person injured while boarding or alighting from railway train or railway vehicle,2020-10-13
V815,Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle,2020-10-13
V816,Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle,2020-10-13
V817,Occupant of railway train or railway vehicle injured in derailment without antecedent collision,2020-10-13
V818,Occupant of railway train or railway vehicle injured in other specified railway accidents,2020-10-13
V819,Occupant of railway train or railway vehicle injured in unspecified railway accident,2020-10-13
V82,,2020-10-13
V820,Occupant of streetcar injured in collision with motor vehicle in nontraffic accident,2020-10-13
V821,Occupant of streetcar injured in collision with motor vehicle in traffic accident,2020-10-13
V822,Occupant of streetcar injured in collision with or hit by rolling stock,2020-10-13
V823,Occupant of streetcar injured in collision with other object,2020-10-13
V824,Person injured while boarding or alighting from streetcar,2020-10-13
V825,Occupant of streetcar injured by fall in streetcar,2020-10-13
V826,Occupant of streetcar injured by fall from streetcar,2020-10-13
V827,Occupant of streetcar injured in derailment without antecedent collision,2020-10-13
V828,Occupant of streetcar injured in other specified transport accidents,2020-10-13
V829,Occupant of streetcar injured in unspecified traffic accident,2020-10-13
V83,,2020-10-13
V830,Driver of special industrial vehicle injured in traffic accident,2020-10-13
V831,Passenger of special industrial vehicle injured in traffic accident,2020-10-13
V832,Person on outside of special industrial vehicle injured in traffic accident,2020-10-13
V833,Unspecified occupant of special industrial vehicle injured in traffic accident,2020-10-13
V834,Person injured while boarding or alighting from special industrial vehicle,2020-10-13
V835,Driver of special industrial vehicle injured in nontraffic accident,2020-10-13
V836,Passenger of special industrial vehicle injured in nontraffic accident,2020-10-13
V837,Person on outside of special industrial vehicle injured in nontraffic accident,2020-10-13
V839,Unspecified occupant of special industrial vehicle injured in nontraffic accident,2020-10-13
V84,,2020-10-13
V840,Driver of special agricultural vehicle injured in traffic accident,2020-10-13
V841,Passenger of special agricultural vehicle injured in traffic accident,2020-10-13
V842,Person on outside of special agricultural vehicle injured in traffic accident,2020-10-13
V843,Unspecified occupant of special agricultural vehicle injured in traffic accident,2020-10-13
V844,Person injured while boarding or alighting from special agricultural vehicle,2020-10-13
V845,Driver of special agricultural vehicle injured in nontraffic accident,2020-10-13
V846,Passenger of special agricultural vehicle injured in nontraffic accident,2020-10-13
V847,Person on outside of special agricultural vehicle injured in nontraffic accident,2020-10-13
V849,Unspecified occupant of special agricultural vehicle injured in nontraffic accident,2020-10-13
V85,,2020-10-13
V850,Driver of special construction vehicle injured in traffic accident,2020-10-13
V851,Passenger of special construction vehicle injured in traffic accident,2020-10-13
V852,Person on outside of special construction vehicle injured in traffic accident,2020-10-13
V853,Unspecified occupant of special construction vehicle injured in traffic accident,2020-10-13
V854,Person injured while boarding or alighting from special construction vehicle,2020-10-13
V855,Driver of special construction vehicle injured in nontraffic accident,2020-10-13
V856,Passenger of special construction vehicle injured in nontraffic accident,2020-10-13
V857,Person on outside of special construction vehicle injured in nontraffic accident,2020-10-13
V859,Unspecified occupant of special construction vehicle injured in nontraffic accident,2020-10-13
V86,,2020-10-13
V860,Driver of all-terrain or other off-road motor vehicle injured in traffic accident,2020-10-13
V861,Passenger of all-terrain or other off-road motor vehicle injured in traffic accident,2020-10-13
V862,Person on outside of all-terrain or other off-road motor vehicle injured in traffic accident,2020-10-13
V863,Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident,2020-10-13
V864,Person injured while boarding or alighting from all-terrain or other off-road motor vehicle,2020-10-13
V865,Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,2020-10-13
V866,Passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident,2020-10-13
V867,Person on outside of all-terrain or other off-road motor vehicle injured in nontraffic accident,2020-10-13
V869,Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident,2020-10-13
V87,,2020-10-13
V870,Person injured in collision between car and two- or three-wheeled motor vehicle (traffic),2020-10-13
V871,Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic),2020-10-13
V872,Person injured in collision between car and pick-up truck or van (traffic),2020-10-13
V873,Person injured in collision between car and bus (traffic),2020-10-13
V874,Person injured in collision between car and heavy transport vehicle (traffic),2020-10-13
V875,Person injured in collision between heavy transport vehicle and bus (traffic),2020-10-13
V876,Person injured in collision between railway train or railway vehicle and car (traffic),2020-10-13
V877,Person injured in collision between other specified motor vehicles (traffic),2020-10-13
V878,Person injured in other specified noncollision transport accidents involving motor vehicle (traffic),2020-10-13
V879,Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic),2020-10-13
V88,,2020-10-13
V880,"Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic",2020-10-13
V881,"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic",2020-10-13
V882,"Person injured in collision between car and pick-up truck or van, nontraffic",2020-10-13
V883,"Person injured in collision between car and bus, nontraffic",2020-10-13
V884,"Person injured in collision between car and heavy transport vehicle, nontraffic",2020-10-13
V885,"Person injured in collision between heavy transport vehicle and bus, nontraffic",2020-10-13
V886,"Person injured in collision between railway train or railway vehicle and car, nontraffic",2020-10-13
V887,"Person injured in collision between other specified motor vehicles, nontraffic",2020-10-13
V888,"Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic",2020-10-13
V889,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic",2020-10-13
V89,,2020-10-13
V890,"Person injured in unspecified motor-vehicle accident, nontraffic",2020-10-13
V891,"Person injured in unspecified nonmotor-vehicle accident, nontraffic",2020-10-13
V892,"Person injured in unspecified motor-vehicle accident, traffic",2020-10-13
V893,"Person injured in unspecified nonmotor-vehicle accident, traffic",2020-10-13
V899,Person injured in unspecified vehicle accident,2020-10-13
V90,,2020-10-13
V900,Merchant ship,2020-10-13
V901,Passenger ship,2020-10-13
V902,Fishing boat,2020-10-13
V903,Other powered watercraft,2020-10-13
V904,Sailboat,2020-10-13
V905,Canoe or kayak,2020-10-13
V906,Inflatable craft (nonpowered),2020-10-13
V907,Water-skis,2020-10-13
V908,Other unpowered watercraft,2020-10-13
V909,Unspecified watercraft,2020-10-13
V91,,2020-10-13
V910,Merchant ship,2020-10-13
V911,Passenger ship,2020-10-13
V912,Fishing boat,2020-10-13
V913,Other powered watercraft,2020-10-13
V914,Sailboat,2020-10-13
V915,Canoe or kayak,2020-10-13
V916,Inflatable craft (nonpowered),2020-10-13
V917,Water-skis,2020-10-13
V918,Other unpowered watercraft,2020-10-13
V919,Unspecified watercraft,2020-10-13
V92,,2020-10-13
V920,Merchant ship,2020-10-13
V921,Passenger ship,2020-10-13
V922,Fishing boat,2020-10-13
V923,Other powered watercraft,2020-10-13
V924,Sailboat,2020-10-13
V925,Canoe or kayak,2020-10-13
V926,Inflatable craft (nonpowered),2020-10-13
V927,Water-skis,2020-10-13
V928,Other unpowered watercraft,2020-10-13
V929,Unspecified watercraft,2020-10-13
V93,,2020-10-13
V930,Merchant ship,2020-10-13
V931,Passenger ship,2020-10-13
V932,Fishing boat,2020-10-13
V933,Other powered watercraft,2020-10-13
V934,Sailboat,2020-10-13
V935,Canoe or kayak,2020-10-13
V936,Inflatable craft (nonpowered),2020-10-13
V937,Water-skis,2020-10-13
V938,Other unpowered watercraft,2020-10-13
V939,Unspecified watercraft,2020-10-13
V94,,2020-10-13
V940,Merchant ship,2020-10-13
V941,Passenger ship,2020-10-13
V942,Fishing boat,2020-10-13
V943,Other powered watercraft,2020-10-13
V944,Sailboat,2020-10-13
V945,Canoe or kayak,2020-10-13
V946,Inflatable craft (nonpowered),2020-10-13
V947,Water-skis,2020-10-13
V948,Other unpowered watercraft,2020-10-13
V949,Unspecified watercraft,2020-10-13
V95,,2020-10-13
V950,Helicopter accident injuring occupant,2020-10-13
V951,"Ultralight, microlight or powered-glider accident injuring occupant",2020-10-13
V952,"Accident to other private fixed-wing aircraft, injuring occupant",2020-10-13
V953,"Accident to commercial fixed-wing aircraft, injuring occupant",2020-10-13
V954,Spacecraft accident injuring occupant,2020-10-13
V958,Other aircraft accidents injuring occupant,2020-10-13
V959,Unspecified aircraft accident injuring occupant,2020-10-13
V96,,2020-10-13
V960,Balloon accident injuring occupant,2020-10-13
V961,Hang-glider accident injuring occupant,2020-10-13
V962,Glider (nonpowered) accident injuring occupant,2020-10-13
V968,Other nonpowered-aircraft accidents injuring occupant,2020-10-13
V969,Unspecified nonpowered-aircraft accident injuring occupant,2020-10-13
V97,,2020-10-13
V970,Occupant of aircraft injured in other specified air transport accidents,2020-10-13
V971,Person injured while boarding or alighting from aircraft,2020-10-13
V972,Parachutist injured in air transport accident,2020-10-13
V973,Person on ground injured in air transport accident,2020-10-13
V978,"Other air transport accidents, not elsewhere classified",2020-10-13
V98,,2020-10-13
V99,,2020-10-13
W00,,2020-10-13
W01,,2020-10-13
W02,,2020-10-13
W03,,2020-10-13
W04,,2020-10-13
W05,,2020-10-13
W06,,2020-10-13
W07,,2020-10-13
W08,,2020-10-13
W09,,2020-10-13
W10,,2020-10-13
W11,,2020-10-13
W12,,2020-10-13
W13,,2020-10-13
W14,,2020-10-13
W15,,2020-10-13
W16,,2020-10-13
W17,,2020-10-13
W18,,2020-10-13
W19,,2020-10-13
W20,,2020-10-13
W21,,2020-10-13
W22,,2020-10-13
W23,,2020-10-13
W24,,2020-10-13
W25,,2020-10-13
W26,,2020-10-13
W260,"Contact with knife, sword or dagger",2020-10-13
W268,"Contact with other sharp object(s), not elsewhere classified",2020-10-13
W269,Contact with unspecified sharp object(s),2020-10-13
W27,,2020-10-13
